date,Outflows_acft,LO_Outflows_cmd
1/27/2010,202.314351,249550.7057
1/28/2010,1132.562607,1396993.324
1/29/2010,2064.794115,2546882.245
1/30/2010,1334.876413,1646543.358
1/31/2010,706.9093465,871958.5407
2/1/2010,418.3140922,515982.0664
2/2/2010,337.1900302,415917.1584
2/3/2010,247.9338457,305821.44
2/4/2010,99.17370149,122328.7773
2/5/2010,23.80164919,29358.85824
2/6/2010,174.5457146,215298.6481
2/7/2010,0,0
2/8/2010,67.43811701,83183.56857
2/9/2010,248.0730969,305993.2036
2/10/2010,339.1739938,418364.3379
2/11/2010,120.9918309,149241.0036
2/12/2010,158.6778473,195725.9511
2/13/2010,886.6117978,1093617.92
2/14/2010,1366.611358,1685687.777
2/15/2010,1586.776613,1957257.216
2/16/2010,1739.503861,2145643.223
2/17/2010,1915.021553,2362140.786
2/18/2010,1192.363676,1470756.748
2/19/2010,784.2446705,967350.1162
2/20/2010,865.5867531,1067683.948
2/21/2010,2344.661438,2892092.991
2/22/2010,2418.644627,2983349.775
2/23/2010,2124.297879,2620278.947
2/24/2010,1969.587309,2429446.554
2/25/2010,993.7192975,1225732.879
2/26/2010,1228.205326,1514966.706
2/27/2010,928.9986737,1145901.284
2/28/2010,342.5458899,422523.5042
3/1/2010,254.9755591,314507.2526
3/2/2010,850.9095362,1049579.895
3/3/2010,2560.662335,3158525.777
3/4/2010,3887.604045,4795281.838
3/5/2010,3619.835169,4464994.284
3/6/2010,2519.008845,3107147.03
3/7/2010,1055.207433,1301577.265
3/8/2010,1252.16609,1544521.829
3/9/2010,2426.599045,2993161.39
3/10/2010,3918.348223,4833204.166
3/11/2010,3461.475108,4269660.317
3/12/2010,1105.805947,1363989.519
