date,NH4
10/11/2010,11.380952
10/12/2010,11.385714
10/13/2010,11.390476
10/14/2010,11.395238
10/15/2010,11.4
10/16/2010,11.404762
10/17/2010,11.409524
10/18/2010,11.414286
10/19/2010,11.419048
10/20/2010,11.42381
10/21/2010,11.24915
10/22/2010,11.076871
10/23/2010,10.904592
10/24/2010,10.732313
10/25/2010,10.560034
10/26/2010,10.387755
10/27/2010,10.215476
10/28/2010,10.043197
10/29/2010,9.870918
10/30/2010,9.698639
10/31/2010,9.526361
11/1/2010,9.354082
11/2/2010,9.403664
11/3/2010,9.469088
11/4/2010,9.534511
11/5/2010,9.599935
11/6/2010,9.665358
11/7/2010,9.730782
11/8/2010,9.796206
11/9/2010,9.861629
11/10/2010,9.927053
11/11/2010,9.992476
11/12/2010,10.0579
11/13/2010,10.123324
11/14/2010,10.188747
11/15/2010,10.254171
11/16/2010,10.319594
11/17/2010,10.385018
11/18/2010,10.450442
11/19/2010,10.515865
11/20/2010,10.581289
11/21/2010,10.646712
11/22/2010,10.712136
11/23/2010,10.777559
11/24/2010,10.842983
11/25/2010,10.908406
11/26/2010,10.97383
11/27/2010,11.039253
11/28/2010,11.104677
11/29/2010,11.170101
11/30/2010,11.235524
12/1/2010,11.300948
12/2/2010,11.366372
12/3/2010,11.431795
12/4/2010,11.497219
12/5/2010,11.562642
12/6/2010,11.628066
12/7/2010,11.693489
12/8/2010,11.758913
12/9/2010,11.824337
12/10/2010,11.88976
12/11/2010,11.955184
12/12/2010,12.020607
12/13/2010,12.086031
12/14/2010,12.151454
12/15/2010,12.216878
12/16/2010,12.129135
12/17/2010,12.041393
12/18/2010,11.953651
12/19/2010,11.865908
12/20/2010,11.778166
12/21/2010,11.633536
12/22/2010,11.488906
12/23/2010,11.344275
12/24/2010,11.199645
12/25/2010,11.055015
12/26/2010,10.910385
12/27/2010,10.765755
12/28/2010,10.621125
12/29/2010,10.476494
12/30/2010,10.331864
12/31/2010,10.187234
1/1/2011,10.042604
1/2/2011,9.897974
1/3/2011,9.753344
1/4/2011,9.604993
1/5/2011,9.581926
1/6/2011,9.558859
1/7/2011,9.535791
1/8/2011,9.512724
1/9/2011,9.489657
1/10/2011,9.46659
1/11/2011,9.443523
1/12/2011,9.420456
1/13/2011,9.397389
1/14/2011,9.374322
1/15/2011,9.351255
1/16/2011,9.328188
1/17/2011,9.305121
1/18/2011,9.282053
1/19/2011,9.258986
1/20/2011,9.235919
1/21/2011,9.212852
1/22/2011,9.189785
1/23/2011,9.166718
1/24/2011,9.143651
1/25/2011,9.120584
1/26/2011,9.097517
1/27/2011,9.07445
1/28/2011,9.051382
1/29/2011,9.028315
1/30/2011,9.005248
1/31/2011,8.982181
2/1/2011,8.959114
2/2/2011,8.936047
2/3/2011,8.91298
2/4/2011,8.889913
2/5/2011,8.866845
2/6/2011,8.843778
2/7/2011,8.820711
2/8/2011,8.797644
2/9/2011,8.774577
2/10/2011,8.75151
2/11/2011,8.728443
2/12/2011,8.705376
2/13/2011,8.682309
2/14/2011,8.659242
2/15/2011,8.727306
2/16/2011,8.795371
2/17/2011,8.863437
2/18/2011,8.931501
2/19/2011,8.999566
2/20/2011,9.067632
2/21/2011,9.135697
2/22/2011,9.203762
2/23/2011,9.271827
2/24/2011,9.339892
2/25/2011,9.407957
2/26/2011,9.476022
2/27/2011,9.544087
2/28/2011,9.612152
3/1/2011,9.680217
3/2/2011,9.748282
3/3/2011,9.816347
3/4/2011,9.884412
3/5/2011,9.952477
3/6/2011,10.020542
3/7/2011,10.088607
3/8/2011,10.156672
3/9/2011,10.120956
